"CellType","WT_percent","KO_percent","WT_count","KO_count","CLR_WT","CLR_KO","CLR_difference","Interpretation","Direction"
"B cells, pro",0,0.0349406009783368,0,1,-9.27943561533582,-2.99355042626467,6.28588518907116,"Large change","Enriched in KO"
"Eosinophils",0.0309981401115933,0,1,0,-3.53970250843064,-8.85264293638807,-5.31294042795743,"Large change","Depleted in KO"
"Tgd",0.805951642901426,0.174703004891684,26,5,-0.28470270880905,-1.38639818986448,-1.10169548105543,"Large change","Depleted in KO"
"ILC",0.4649721016739,0.139762403913347,15,4,-0.834658071411347,-1.60939873326839,-0.774740661857043,"Moderate change","Depleted in KO"
"T cells",30.0991940483571,41.2997903563941,971,1182,3.3354064745772,4.07855728074272,0.743150806165524,"Moderate change","Enriched in KO"
"Monocytes",4.33973961562306,5.66037735849057,140,162,1.39874214914426,2.09120566320281,0.692463514058548,"Moderate change","Enriched in KO"
"Neutrophils",16.3360198388097,5.73025856044724,527,164,2.72428335390805,2.10347554035125,-0.620807813556796,"Moderate change","Depleted in KO"
"Macrophages",5.17668939863608,1.81691125087351,167,52,1.57508981353874,0.954890416988216,-0.620199396550527,"Moderate change","Depleted in KO"
"B cells",33.8189708617483,39.2732354996506,1091,1124,3.45192962669225,4.02824323817355,0.576313611481299,"Moderate change","Enriched in KO"
"Basophils",0.27898326100434,0.209643605870021,9,6,-1.3453403585019,-1.20417198304047,0.141168375461434,"Negligible","Enriched in KO"
"NK cells",2.07687538747675,1.46750524109015,67,42,0.661817451428855,0.741329420278704,0.0795119688498485,"Negligible","Enriched in KO"
"Stem cells",2.13887166769994,1.29280223619846,69,37,0.691229941070827,0.614586922463926,-0.0766430186069016,"Negligible","Depleted in KO"
"NKT",2.01487910725356,1.22292103424179,65,35,0.631513583376598,0.559021491034695,-0.072492092341903,"Negligible","Depleted in KO"
"DC",2.41785492870428,1.67714884696017,78,48,0.813826868751988,0.874852295590203,0.0610254268382149,"Negligible","Enriched in KO"
