"CellType","N_genes","Pearson_r","Pearson_p","R_squared","Slope","Intercept","Interpretation"
"T cells",1773,0.668046673345087,1.35433106277433e-229,0.446286357767437,0.715890370263509,-0.0949436747748486,"***"
"B cells",1599,0.581804850118596,1.69680088134417e-145,0.338496883621522,0.729127820523986,-0.0125794101603272,"***"
"Monocytes",1844,0.20742774412869,2.27088680073447e-19,0.0430262690343174,0.169328777896505,-0.0435265115086281,"***"
"Neutrophils",1008,0.181280595062856,6.77417265434224e-09,0.032862654146343,0.139599253675571,-0.201149702631478,"***"
"DC",3511,0.101359319012562,1.75192099979066e-09,0.0102737115506903,0.0744722905064937,-0.0241910572401835,"***"
"Macrophages",2883,0.0499336528090404,0.00732652148797628,0.00249336968285379,0.0440423040325796,0.280977772816407,"**"
"Stem cells",3391,-0.0421998377208593,0.0139875852091577,0.00178082630366686,-0.0178030443948443,-0.0936548500948353,"*"
"NKT",3265,0.0410949315546866,0.0188611211830032,0.00168879339948437,0.0390069712870483,0.0513826030111792,"*"
"Basophils",4109,-0.0297742965646115,0.0563370931140292,0.000886508735917437,-0.0253174219103076,0.0337718647812923,"ns"
"NK cells",3576,-0.0204149079799641,0.22227347601481,0.000416768467830404,-0.0194911337601665,0.0304658672036392,"ns"
"ILC",3808,0.0146428519396769,0.366341525792013,0.0002144131129273,0.0101651149957154,-0.0940737961174038,"ns"
